Degree,Major,CGPA,Employed,Experience,Skills,Certifications,Industry Preference,Job Role
MBA,Mechanical,6.06,yes,7,"SolidWorks, Thermodynamics",Data Science Certificate,Finance,Design Engineer
B.Tech,Mechanical,7.21,yes,5,"Thermodynamics, MATLAB, AutoCAD, SolidWorks",None,Research,Manufacturing Engineer
MBA,Economics,6.66,no,7,"Data Analysis, R, Econometrics, Python, Statistics",PMP,IT,Business Analyst
MBA,Finance,6.95,no,9,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Banker
M.Tech,Computer Science,7.15,no,4,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Backend Developer
MBA,Computer Science,9.81,no,9,"Machine Learning, SQL, Java",Six Sigma,Manufacturing,Software Engineer
B.Tech,Computer Science,7.7,no,6,"C++, Python, SQL",Six Sigma,Finance,Software Engineer
M.Tech,Computer Science,9.0,yes,2,"Python, C++",PMP,Finance,Data Scientist
B.Sc,Electrical,8.17,no,7,"MATLAB, C",PMP,Research,Electronics Engineer
B.Tech,Finance,6.91,yes,7,"Accounting, Financial Modeling, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst
B.Sc,Economics,7.94,yes,3,"Econometrics, Statistics",AWS Certified,Finance,Data Analyst
B.Sc,Computer Science,7.5,yes,2,"SQL, C++, Java, Machine Learning",Data Science Certificate,Finance,Backend Developer
B.Tech,Finance,8.0,yes,3,"Risk Analysis, Accounting, Excel, Financial Modeling",PMP,Education,Financial Analyst
MBA,Electrical,7.38,yes,0,"VHDL, Embedded Systems, C, Circuit Design, MATLAB",AWS Certified,IT,Electrical Engineer
B.Sc,Electrical,6.25,yes,5,"C, VHDL, Embedded Systems, Circuit Design",Data Science Certificate,Finance,Electrical Engineer
M.Tech,Finance,9.42,no,6,"Risk Analysis, Excel, SQL, Financial Modeling, Accounting",AWS Certified,Research,Financial Analyst
M.Tech,Mechanical,7.9,no,7,"AutoCAD, Thermodynamics",None,Finance,Mechanical Engineer
M.Tech,Computer Science,5.8,no,10,"Java, Python",Six Sigma,Education,Backend Developer
M.Sc,Mechanical,5.21,yes,10,"Thermodynamics, MATLAB, AutoCAD",Data Science Certificate,Research,Design Engineer
B.Tech,Computer Science,5.5,no,3,"Machine Learning, C++",AWS Certified,Education,Software Engineer
M.Tech,Mechanical,6.89,yes,10,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer
B.Tech,Mechanical,8.91,yes,10,"MATLAB, Thermodynamics, SolidWorks",None,Finance,Design Engineer
B.Tech,Electrical,5.87,yes,8,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer
M.Sc,Mechanical,7.44,no,5,"MATLAB, AutoCAD, SolidWorks",AWS Certified,Research,Manufacturing Engineer
B.Sc,Electrical,7.03,no,2,"C, Embedded Systems, Circuit Design, VHDL",Six Sigma,IT,Electrical Engineer
B.Sc,Computer Science,5.7,yes,9,"Java, Python",PMP,Research,Software Engineer
B.Tech,Electrical,5.42,no,1,"Embedded Systems, C",AWS Certified,IT,Electrical Engineer
M.Sc,Mechanical,9.34,yes,5,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Six Sigma,Finance,Design Engineer
M.Sc,Mechanical,6.41,no,9,"Thermodynamics, MATLAB, AutoCAD, SolidWorks",Six Sigma,Research,Mechanical Engineer
B.Tech,Economics,8.06,yes,10,"Statistics, Data Analysis, Econometrics",Data Science Certificate,Finance,Business Analyst
B.Sc,Finance,6.79,yes,7,"SQL, Accounting",None,Research,Investment Banker
B.Tech,Mechanical,5.72,no,8,"SolidWorks, AutoCAD, MATLAB, Thermodynamics",None,Finance,Mechanical Engineer
M.Sc,Mechanical,7.02,no,2,"SolidWorks, MATLAB, AutoCAD, Thermodynamics",Data Science Certificate,Manufacturing,Design Engineer
M.Sc,Finance,5.78,yes,7,"Risk Analysis, Excel, Accounting",Data Science Certificate,IT,Accountant
M.Sc,Economics,5.22,yes,8,"Python, Econometrics, Data Analysis, R",None,Manufacturing,Economist
M.Sc,Electrical,6.58,yes,5,"MATLAB, Circuit Design, Embedded Systems, VHDL, C",PMP,Manufacturing,Electronics Engineer
B.Tech,Electrical,6.14,yes,9,"MATLAB, VHDL, C",PMP,Manufacturing,Electronics Engineer
M.Tech,Computer Science,9.55,no,0,"Java, C++",AWS Certified,Manufacturing,Data Scientist
M.Tech,Economics,9.65,yes,4,"Econometrics, Statistics, R",Six Sigma,Manufacturing,Data Analyst
M.Sc,Finance,6.79,no,6,"Risk Analysis, Financial Modeling, Excel, Accounting",Six Sigma,Finance,Accountant
B.Tech,Electrical,9.03,no,9,"Embedded Systems, Circuit Design, MATLAB, VHDL",None,IT,Electronics Engineer
M.Sc,Mechanical,9.62,no,9,"SolidWorks, MATLAB, Thermodynamics",PMP,Education,Design Engineer
B.Tech,Electrical,7.62,no,9,"C, VHDL",Data Science Certificate,Finance,Embedded Systems Engineer
B.Tech,Electrical,5.55,no,7,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer
MBA,Finance,9.81,yes,5,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Financial Analyst
B.Tech,Computer Science,7.45,yes,3,"Machine Learning, Python",Data Science Certificate,Education,Backend Developer
M.Sc,Economics,6.24,no,2,"R, Statistics, Econometrics, Data Analysis",None,IT,Economist
B.Tech,Mechanical,8.36,yes,10,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer
B.Tech,Mechanical,5.39,no,2,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Manufacturing Engineer
MBA,Mechanical,9.66,yes,1,"AutoCAD, SolidWorks, MATLAB",None,Manufacturing,Mechanical Engineer
M.Sc,Mechanical,6.11,no,1,"Thermodynamics, MATLAB",None,Manufacturing,Manufacturing Engineer
MBA,Mechanical,7.86,no,3,"MATLAB, AutoCAD, Thermodynamics, SolidWorks",Data Science Certificate,Education,Mechanical Engineer
B.Tech,Finance,5.93,no,9,"SQL, Risk Analysis, Accounting",AWS Certified,IT,Investment Banker
M.Tech,Finance,6.57,yes,1,"Risk Analysis, Accounting, Financial Modeling, Excel, SQL",AWS Certified,Manufacturing,Accountant
B.Sc,Computer Science,7.77,yes,10,"Machine Learning, Java, Python, C++, SQL",PMP,IT,Data Scientist
MBA,Finance,9.58,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Financial Analyst
B.Sc,Economics,5.32,yes,10,"Econometrics, Python, Data Analysis",PMP,IT,Data Analyst
MBA,Economics,9.67,yes,8,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Economist
M.Sc,Computer Science,8.57,yes,10,"Python, C++, Java, SQL",Six Sigma,Education,Software Engineer
M.Tech,Electrical,5.27,no,4,"Embedded Systems, VHDL",Six Sigma,Research,Electrical Engineer
B.Tech,Mechanical,5.26,no,3,"Thermodynamics, MATLAB",AWS Certified,Finance,Design Engineer
M.Sc,Finance,5.61,yes,6,"Risk Analysis, Excel, SQL, Financial Modeling",Data Science Certificate,IT,Investment Banker
B.Sc,Finance,8.34,no,0,"Accounting, Excel",PMP,Finance,Accountant
B.Tech,Computer Science,6.78,no,7,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Software Engineer
B.Sc,Electrical,8.33,yes,5,"Embedded Systems, VHDL, MATLAB",Data Science Certificate,IT,Electrical Engineer
M.Tech,Finance,7.92,no,10,"Risk Analysis, SQL, Financial Modeling",Six Sigma,IT,Investment Banker
M.Sc,Economics,8.9,no,2,"R, Data Analysis",AWS Certified,Education,Economist
B.Sc,Electrical,6.19,yes,7,"MATLAB, Circuit Design, VHDL",PMP,Finance,Electronics Engineer
MBA,Computer Science,8.41,yes,5,"Java, Python, SQL, Machine Learning, C++",None,IT,Software Engineer
B.Sc,Mechanical,9.58,no,2,"Thermodynamics, MATLAB, SolidWorks",AWS Certified,IT,Mechanical Engineer
M.Tech,Computer Science,8.9,no,9,"Machine Learning, Java, Python",AWS Certified,IT,Software Engineer
B.Sc,Economics,5.45,no,3,"Econometrics, Python",AWS Certified,Education,Business Analyst
M.Tech,Electrical,7.17,no,2,"Circuit Design, MATLAB, C, Embedded Systems, VHDL",Data Science Certificate,Manufacturing,Embedded Systems Engineer
M.Sc,Mechanical,8.12,no,8,"SolidWorks, AutoCAD, Thermodynamics, MATLAB",AWS Certified,IT,Manufacturing Engineer
B.Tech,Electrical,7.1,yes,9,"Circuit Design, C",None,Manufacturing,Electrical Engineer
B.Tech,Mechanical,7.85,no,8,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer
B.Tech,Computer Science,5.09,yes,8,"SQL, Machine Learning, C++, Java",PMP,IT,Software Engineer
MBA,Finance,8.36,no,10,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Financial Analyst
MBA,Economics,7.34,yes,0,"R, Data Analysis, Python",Six Sigma,IT,Business Analyst
B.Tech,Finance,6.16,yes,2,"Financial Modeling, Excel",AWS Certified,Finance,Financial Analyst
M.Tech,Electrical,8.29,yes,3,"MATLAB, C, VHDL",Data Science Certificate,Education,Electronics Engineer
B.Sc,Finance,5.25,yes,3,"SQL, Excel, Accounting, Financial Modeling",Data Science Certificate,Manufacturing,Financial Analyst
MBA,Mechanical,9.8,yes,0,"AutoCAD, Thermodynamics, SolidWorks, MATLAB",None,IT,Mechanical Engineer
M.Sc,Mechanical,8.6,no,0,"AutoCAD, SolidWorks, MATLAB",None,IT,Mechanical Engineer
M.Sc,Mechanical,5.69,yes,0,"Thermodynamics, SolidWorks",PMP,Research,Design Engineer
MBA,Finance,7.28,yes,8,"Financial Modeling, Accounting",Data Science Certificate,IT,Investment Banker
M.Sc,Mechanical,5.57,no,0,"AutoCAD, SolidWorks, MATLAB, Thermodynamics",None,IT,Design Engineer
M.Tech,Mechanical,7.02,yes,2,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer
MBA,Electrical,8.12,yes,9,"VHDL, MATLAB, Embedded Systems, C",Six Sigma,Education,Electrical Engineer
B.Sc,Mechanical,5.49,no,10,"Thermodynamics, AutoCAD",AWS Certified,Research,Mechanical Engineer
B.Tech,Finance,9.85,yes,7,"Financial Modeling, Excel",AWS Certified,Education,Financial Analyst
M.Tech,Electrical,5.6,yes,8,"C, MATLAB, Circuit Design, VHDL",Data Science Certificate,Manufacturing,Electrical Engineer
M.Tech,Finance,9.07,no,8,"Financial Modeling, Risk Analysis, SQL",AWS Certified,IT,Accountant
B.Sc,Finance,7.95,yes,1,"SQL, Accounting, Risk Analysis, Financial Modeling, Excel",AWS Certified,Manufacturing,Financial Analyst
M.Tech,Finance,7.5,no,6,"Accounting, Risk Analysis",Six Sigma,Education,Accountant
M.Tech,Mechanical,5.02,yes,9,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer
M.Tech,Computer Science,8.12,yes,10,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Backend Developer
M.Tech,Finance,8.2,yes,5,"SQL, Risk Analysis, Financial Modeling, Excel, Accounting",Data Science Certificate,Education,Investment Banker
M.Sc,Electrical,6.61,yes,5,"MATLAB, Circuit Design, C, Embedded Systems",AWS Certified,Manufacturing,Electronics Engineer
B.Sc,Economics,7.29,yes,0,"Data Analysis, Statistics, Python, Econometrics, R",Data Science Certificate,Manufacturing,Data Analyst
B.Tech,Mechanical,6.1,no,5,"AutoCAD, SolidWorks",PMP,Manufacturing,Manufacturing Engineer
MBA,Electrical,9.97,yes,1,"Embedded Systems, Circuit Design, VHDL, MATLAB, C",PMP,IT,Electronics Engineer
M.Tech,Finance,9.04,yes,3,"Financial Modeling, SQL, Risk Analysis",Data Science Certificate,IT,Investment Banker
B.Tech,Computer Science,6.12,no,10,"Python, Machine Learning, SQL, Java",None,Research,Data Scientist
B.Sc,Mechanical,8.61,yes,5,"SolidWorks, MATLAB",AWS Certified,IT,Mechanical Engineer
